season,day_num,region,game_round,game_slot,winner,team_1_id,team_2_id,team_1_seed_num,team_2_seed_num
2021,138,X,2,R1W1,,1211,1281,1,9
2021,138,X,2,R1W2,,1364,1438,12,4
2021,138,X,2,R1W3,,1425,1242,6,3
2021,138,X,2,R1W4,,1433,1234,10,2
2021,138,W,2,R1W5,,1276,1261,1,8
2021,138,W,2,R1W6,,1207,1199,12,4
2021,138,W,2,R1W6,,1140,1400,6,3
2021,138,W,2,R1W7,,1163,1104,7,2
2021,138,Y,2,R1W8,,1228,1260,1,8
2021,138,Y,2,R1X2,,1397,1329,5,4
2021,138,Y,2,R1X3,,1361,1452,6,3
2021,138,Y,2,R1X4,,1353,1222,10,2
2021,138,Z,2,R1X5,,1124,1458,1,9
2021,138,Z,2,R1X6,,1457,1317,12,13
2021,138,Z,2,R1X7,,1403,1159,6,14
2021,138,Z,2,R1X8,,1439,1326,10,2
