season,day_num,region,game_round,game_slot,winner,team_1_id,team_2_id,team_1_seed_num,team_2_seed_num,team_1_name,team_2_name
2021,136,W,1,R1W1,NA,1276,1411,1,16,Michigan,TX Southern
2021,136,W,1,R1W2,NA,1104,1233,2,15,Alabama,Iona
2021,136,W,1,R1W3,NA,1400,1101,3,14,Texas,Abilene Chr
2021,136,W,1,R1W4,NA,1422,1199,13,4,UNC Greensboro,Florida St
2021,136,W,1,R1W5,NA,1160,1207,5,12,Colorado,Georgetown
2021,136,W,1,R1W6,NA,1140,1277,6,11,BYU,Michigan St
2021,136,W,1,R1W6,NA,1140,1417,6,11,BYU,UCLA
2021,136,W,1,R1W7,NA,1268,1163,10,7,Maryland,Connecticut
2021,136,W,1,R1W8,NA,1382,1261,9,8,St Bonaventure,LSU
2021,136,X,1,R1X2,NA,1234,1213,2,15,Iowa,Grand Canyon
2021,136,X,1,R1X3,NA,1242,1186,3,14,Kansas,E Washington
2021,136,X,1,R1X4,NA,1438,1325,4,13,Virginia,Ohio
2021,136,X,1,R1X5,NA,1166,1364,5,12,Creighton,UC Santa Barbara
2021,136,X,1,R1X6,NA,1179,1425,11,6,Drake,USC
2021,136,X,1,R1X7,NA,1332,1433,7,10,Oregon,VCU
2021,136,X,1,R1X8,NA,1328,1281,8,9,Oklahoma,Missouri
2021,136,Y,1,R1Y1,NA,1228,1180,1,16,Illinois,Drexel
2021,136,Y,1,R1Y2,NA,1222,1156,2,15,Houston,Cleveland St
2021,136,Y,1,R1Y3,NA,1452,1287,3,14,West Virginia,Morehead St
2021,136,Y,1,R1Y4,NA,1251,1329,13,4,Liberty,Oklahoma St
2021,136,Y,1,R1Y5,NA,1333,1397,12,5,Oregon St,Tennessee
2021,136,Y,1,R1Y6,NA,1393,1361,11,6,Syracuse,San Diego St
2021,136,Y,1,R1Y7,NA,1353,1155,10,7,Rutgers,Clemson
2021,136,Y,1,R1Y8,NA,1260,1210,8,9,Loyola-Chicago,Georgia Tech
2021,136,Z,1,R1Z1,NA,1124,1216,1,16,Baylor,Hartford
2021,136,Z,1,R1Z2,NA,1326,1331,2,15,Ohio St,Oral Roberts
2021,136,Z,1,R1Z3,NA,1116,1159,3,14,Arkansas,Colgate
2021,136,Z,1,R1Z4,NA,1317,1345,13,4,North Texas,Purdue
2021,136,Z,1,R1Z5,NA,1457,1437,12,5,Winthrop,Villanova
2021,136,Z,1,R1Z6,NA,1429,1403,11,6,Utah St,Texas Tech
2021,136,Z,1,R1Z7,NA,1196,1439,7,10,Florida,Virginia Tech
2021,136,Z,1,R1Z8,NA,1314,1458,8,9,North Carolina,Wisconsin
